exam_id,question,option_1,option_2,option_3,option_4,option_5,image,correct_option,reason
96,Who write Vedadhikara Nirupanam,Chattampi Swamikal,Guruvayur Sathyagraha,Nivarthana Agitation,Paliyam Sathyagraha,,,option_3,
96,The Indian Constitution was amended for the first time in,1950,1951,1952,1953,,,option_2,
96,The Constitution of India has borrowed Fundamental Duties from which of these countries Constitution, USA, Canada,USSR,UK,,,option_3,
96,Who acted as the Chairman of the Drafting Committee of the Constituent Assembly, B C Rajagopalachari,B R Ambedkar, Rajendra Prasad,Jawaharlal Nehru,,,option_2,
96,When did the Right to Information Act come into force,2005,2003,2004,2006,,,option_1,
96,The joint session of the Parliament is presided over by,The President,The Speaker of Lok Sabha,Prime Minister,Chief Justice of India,,,option_2,
96,Who proposed the preamble of Indian constitution before the drafting committee,B R Ambedkar,"Jawaharlal Nehru

", B N Rao,K M Munshi,,,option_2,
96,The government abolished the practice of untouchability under the provisions of which article of Indian constitution,Article 29,Article 18,Article 17,Article 20,,,option_3,
96,The President can proclaim national emergency only on the written advice of, The Chief Justice of India,The Speaker of Lok Sabha,The Union Cabinet, The Prime Minister,,,option_3,
96, Which article of the Indian Constitution deals with the Election Commission,Article 352,Article 324, Article 370,Article 24,,,option_2,
96,Who became India’s first woman judge at the Kerala High Court in 1959, Arya Pallam, Akkama Cheriyan,Anna Chandy,Lalitha Prabu,,,option_3,
96, Antharjana Samaaijams were organised under the leadership of,Akkama Cheriyan,Lalitha Prabu,Kuttimalu Amma,Arya Pallam,,,option_4,
96,Kerala Sangeetha Nataka Academy is located in, Ernakulam, Kottayam,Thrissur, Kozhikode,,,option_3,
96,The newspaper started by Herman Gundert,Pashehimodayam, Rajyasamacharam,Malayalarajyam,Keralapazhama,,,option_2,
96, The missionary who established the first printing press at Kottayam in 1821,Joseph Fenn, Thomas Norton, Henry Baker,Benjamin Bailey,,,option_4,
96,Savarna Jatha to support Vaikom Satyagraha was organized by,Kelappan,Thycad Ayya,Mannathu Padmanabhan,G P Pillai,,,option_3,
96,Vivekodayam magazine was published by,Ramakrishna Pilla,V T Bhattathirippad,Ayyankali,Kumaranasan,,,option_4,
96, The First President of Indian National Congress,S N Banerjee,A O Hume, Lord Dufferin,W C Banerjee,,,option_4,
96,Nair Service Society was founded on,1st October 1914,31st December 1914,31st October 1914,1st January 1914,,,option_3,
96,Guernica is the famous painting of, Van Gogh, Rodin, Pablo Picasso,Salvador Dalí,,,option_3,
96,,,,,,,,,
